judul,tipe,kota,harga,harga_raw,lokasi,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,sumber,carport,url,tanggal_scrape
Rumah Sewa Siap Pakai Samarinda Ulu 3915,rumah-sewa,samarinda,Rp 56 Juta /tahun,56000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,160 m²,240 m²,4,2,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-siap-pakai-samarinda-ulu-3915-hor40018829/,03-22-26
Rumah Sewa Perumahan Tenang Strategis Samarinda Ulu 0549,rumah-sewa,samarinda,Rp 70 Juta /tahun,70000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,120 m²,240 m²,3 + 1,3,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-perumahan-tenang-strategis-samarinda-ulu-0549-hor40018840/,03-22-26
Rumah Sewa Bebas Banjir  Siap Pakai Samarinda Ulu,rumah-sewa,samarinda,Rp 76 Juta /tahun,76000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,150 m²,90 m²,3,2,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-bebas-banjir-siap-pakai-samarinda-ulu-hor40018828/,03-22-26
RUMAH SEWA MINIMALIS SIAP PAKAI SAMARINDA SUNGAI KUNJANG 2951,rumah-sewa,samarinda,Rp 30 Juta /tahun,30000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,90 m²,54 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-minimalis-siap-pakai-samarinda-sungai-kunjang-2951-hor40018851/,03-22-26
Rumah Sewa Full Furnish Samarinda Utara Bebas Banjir 7166,rumah-sewa,samarinda,Rp 62 Juta /tahun,62000000,"Samarinda Utara, Samarinda",Samarinda Utara,150 m²,90 m²,2,2,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-sewa-full-furnish-samarinda-utara-bebas-banjir-7166-hor40018843/,03-22-26
RUMAH SEWA FULL FURNISH SAMARINDA UTARA 7797,rumah-sewa,samarinda,Rp 52 Juta /tahun,52000000,"Samarinda Utara, Samarinda",Samarinda Utara,150 m²,100 m²,3,3,rumah123,2,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-sewa-full-furnish-samarinda-utara-7797-hor40018850/,03-22-26
Rumah Sewa Cocok Kantor Samarinda Sungai Pinang 5839,rumah-sewa,samarinda,Rp 52 Juta /tahun,52000000,"Sungai Pinang, Samarinda",Sungai Pinang,300 m²,200 m²,4,2,rumah123,,https://www.rumah123.com/properti/samarinda-sungai-pinang/rumah-sewa-cocok-kantor-samarinda-sungai-pinang-5839-hor40018847/,03-22-26
Rumah Sewa Mewah Murah Perumahan Palaran Samarinda 4520,rumah-sewa,samarinda,Rp 75 Juta /tahun,75000000,"Palaran, Samarinda",Palaran,120 m²,240 m²,4 + 1,4,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-palaran/rumah-sewa-mewah-murah-perumahan-palaran-samarinda-4520-hor40018841/,03-22-26
RUMAH SEWA KANTOR SAMARINDA SUNGAI KUNJANG 8206,rumah-sewa,samarinda,Rp 60 Juta /tahun,60000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,130 m²,150 m²,6,2,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-kantor-samarinda-sungai-kunjang-8206-hor40018858/,03-22-26
RUMAH SEWA KELUARGA BARU SAMARINDA UTARA 6316,rumah-sewa,samarinda,Rp 36 Juta /tahun,36000000,"Samarinda Utara, Samarinda",Samarinda Utara,120 m²,54 m²,2,1,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-utara/rumah-sewa-keluarga-baru-samarinda-utara-6316-hor40018856/,03-22-26
RUMAH SEWA COCOK UNTUK KANTOR SAMARINDA ULU 2123,rumah-sewa,samarinda,Rp 47 Juta /tahun,47000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,163 m²,163 m²,3,2,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-cocok-untuk-kantor-samarinda-ulu-2123-hor40018854/,03-22-26
RUMAH SEWA KANTOR SAMARINDA SUNGAI KUNJANG 5216,rumah-sewa,samarinda,Rp 65 Juta /tahun,65000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,100 m²,60 m²,3,2,rumah123,,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-kantor-samarinda-sungai-kunjang-5216-hor40018869/,03-22-26
RUMA SEWA KELUARGA LINGKUNGAN PERUMAHAN TENANG SAMARINDA ULU 5583,rumah-sewa,samarinda,Rp 38 Juta /tahun,38000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,100 m²,54 m²,2,,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/ruma-sewa-keluarga-lingkungan-perumahan-tenang-samarinda-ulu-5583-hor40018871/,03-22-26
RUMAH SEWA MINIMALIS  COCOK KELUARGA BARU SAMARINDA ULU 9556,rumah-sewa,samarinda,Rp 36 Juta /tahun,36000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,100 m²,36 m²,2,1,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-minimalis-cocok-keluarga-baru-samarinda-ulu-9556-hor40018873/,03-22-26
RUMAH SEWA KANTOR DIPERUMAHAN ELIT SAMARINDA ULU 4190,rumah-sewa,samarinda,Rp 50 Juta /tahun,50000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,180 m²,75 m²,2,1,rumah123,3,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-kantor-diperumahan-elit-samarinda-ulu-4190-hor40018863/,03-22-26
RUMAH SEWA KANTOR DEKAT JALAN BESAR SAMARINDA ULU 2924,rumah-sewa,samarinda,Rp 82 Juta /tahun,82000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,108 m²,216 m²,3,4,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-kantor-dekat-jalan-besar-samarinda-ulu-2924-hor40018879/,03-22-26
RUMAH SEWA DI PERUMAHAN BEBAS BANJIR SAMARINDA ULU 5527,rumah-sewa,samarinda,Rp 45 Juta /tahun,45000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,300 m²,240 m²,3,2,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-di-perumahan-bebas-banjir-samarinda-ulu-5527-hor40018875/,03-22-26
RUMAH SEWA KANTOR DI SAMARINDA ULU BEBAS BANJIR 4444,rumah-sewa,samarinda,Rp 45 Juta /tahun,45000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,110 m²,110 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-kantor-di-samarinda-ulu-bebas-banjir-4444-hor40018881/,03-22-26
RUMAH SEWA COCOK UNTUK MESS KARYAWAN SAMARINDA KOTA 8084,rumah-sewa,samarinda,Rp 65 Juta /tahun,65000000,"Samarinda Kota, Samarinda",Samarinda Kota,300 m²,240 m²,3 + 1,2,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-kota/rumah-sewa-cocok-untuk-mess-karyawan-samarinda-kota-8084-hor40018877/,03-22-26
RUMAH SEWA KANTOR PERUMAHAN ELIT SAMARINDA SUNGAI PINANG 4696,rumah-sewa,samarinda,Rp 82 Juta /tahun,82000000,"Sungai Pinang, Samarinda",Sungai Pinang,105 m²,105 m²,3,2,rumah123,2,https://www.rumah123.com/properti/samarinda-sungai-pinang/rumah-sewa-kantor-perumahan-elit-samarinda-sungai-pinang-4696-hor40018885/,03-22-26
RUMAH SEWA 2 KAMAR TIDUR SAMARINDA ULU 3061,rumah-sewa,samarinda,Rp 35 Juta /tahun,35000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,144 m²,144 m²,2,2,rumah123,1 + 1,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-2-kamar-tidur-samarinda-ulu-3061-hor40018887/,03-22-26
RUMAH SEWA COCOK UNTUK KANTOR SAMARINDA SUNGAI KUNJANG 7777,rumah-sewa,samarinda,Rp 40 Juta /tahun,40000000,"Sungai Kunjang, Samarinda",Sungai Kunjang,105 m²,75 m²,3,2,rumah123,1,https://www.rumah123.com/properti/samarinda-sungai-kunjang/rumah-sewa-cocok-untuk-kantor-samarinda-sungai-kunjang-7777-hor40018900/,03-22-26
RUMAH SEWA DIPERUMAHAN ELIT SAMARINDA ULU 5600,rumah-sewa,samarinda,Rp 38 Juta /tahun,38000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,75 m²,75 m²,2,1,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-diperumahan-elit-samarinda-ulu-5600-hor40018899/,03-22-26
RUMAH SEWA TENGAH KOTA UNTUK MESS KARYAWAN DISAMARINDA ULU 4709,rumah-sewa,samarinda,Rp 55 Juta /tahun,55000000,"Samarinda Ulu, Samarinda",Samarinda Ulu,254 m²,180 m²,4,2,rumah123,,https://www.rumah123.com/properti/samarinda-samarinda-ulu/rumah-sewa-tengah-kota-untuk-mess-karyawan-disamarinda-ulu-4709-hor40018919/,03-22-26
